repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,snapshot_at_utc,archived,latest_release_age_days,latest_release_at,language,stars,forks,open_issues,size_kb,catalog_pushed_at,label
DaXiGua732/auto-trackers-fetcher,0,1,0,0,100,2,1,0,,0,,,,,,,,,
CodeAbra/iai-personal-memory-engine,0,1,65.4,26.3,100,10,1,1,,0,0,2026-09-04T17:27:50Z,,,,,,,
ClickHouse/nerve,0,1,100.0,74.4,100,21,1,1,,0,,,,,,,,,
Daily-Nerd/daimon,0,1,89.2,99.0,100,2,1,1,,0,0,2026-09-05T10:31:22Z,,,,,,,
Cold-IQ/ColdIQ-s-GTM-Skills,4,1,50.0,100.0,9,3,1,1,,0,,,,,,,,,
CloudChef/atlasclaw,0,2,0,85.0,68,13,1,1,,0,9,2026-08-27T06:15:14Z,,,,,,,
Blink9209/blink9209.github.io,0,1,0,0,100,1,1,0,,0,,,,,,,,,
DarkLink/QuantPits,0,1,50.0,100.0,100,3,1,1,,0,,,,,,,,,
CmsChase/LA-neighborhood-heat,2,1,0,0,100,1,1,1,,0,,,,,,,,,
Darmioniks/proxy-and-vless-collector,0,1,0,0,100,4,1,1,,0,7,2026-08-28T16:10:43Z,,,,,,,
Comfy-Org/comfy-mcp,0,1,0,97.8,100,7,1,1,,0,25,2026-08-10T23:40:28Z,,,,,,,
Code-Amadeus/Amadeus,0,1,64.3,77.4,35,6,1,1,,0,,,,,,,,,
DeliciousMeatPop/AAC,0,1,0,100.0,93,3,1,0,,0,29,2026-08-06T14:10:21Z,,,,,,,
Continuum-AI-Corp/OrcaRouter-Lite,1,2,35.7,83.9,12,9,1,1,,0,117,2026-05-11T02:58:59Z,,,,,,,
CodeAlive-AI/ai-driven-development,1,1,66.7,66.7,100,5,0,1,,0,1,2026-09-03T22:25:53Z,,,,,,,
Delta-Kronecker/Vpn-Gate,0,1,0,0,94,2,1,0,,0,,,,,,,,,
CorridorTech/PoseCap,13,1,87.5,92.9,100,2,1,1,,0,13,2026-08-23T04:14:53Z,,,,,,,
Coding-Dev-Tools/engraphis,0,1,0,78.0,100,5,1,1,,0,1,2026-09-04T01:44:46Z,,,,,,,
Cranot/roam-code,0,1,82.4,26.8,100,6,1,1,,0,0,2026-09-05T10:05:26Z,,,,,,,
CommonHuman-Lab/nyxstrike,16,1,100.0,67.7,100,7,0,1,,0,16,2026-08-20T05:08:20Z,,,,,,,
CUBOPLUS-BTC/bitcoin-mempool-fee-predictor,0,1,0,0,100,2,1,1,,0,,,,,,,,,
DevCop95/shodan_reconsx,0,1,0,40.0,6,1,1,1,,0,19,2026-08-17T13:27:31Z,,,,,,,
CyrilPeng/FlowScroll,4,1,100.0,100.0,13,3,1,1,,0,4,2026-09-01T03:05:20Z,,,,,,,
CursorTouch/MacOS-MCP,0,1,90.0,88.1,100,9,1,1,,0,17,2026-08-18T17:12:16Z,,,,,,,
DevinoSolutions/stealth-chrome-devtools-mcp,0,1,100.0,96.5,100,1,1,1,,0,2,2026-09-02T20:46:13Z,,,,,,,
DAB-LABS/HAIR,0,1,69.0,88.9,100,10,1,1,,0,0,2026-09-05T06:01:54Z,,,,,,,
Cyborg2017/midea_smart_home,0,1,100.0,16.7,100,8,1,0,,0,6,2026-08-30T02:34:15Z,,,,,,,
Dicklesworthstone/Dicklesworthstone,0,1,100.0,0,100,2,1,1,,0,,,,,,,,,
DLYuanGod/MegaTrain,5,1,40.0,100.0,11,6,1,1,,0,,,,,,,,,
DanMcInerney/orchflows,0,1,0,99.0,100,24,1,1,,0,,,,,,,,,
ChogirmaliYigit/multi-saas-pos,0,1,0,0,19,1,0,1,,0,,,,,,,,,
Dicklesworthstone/franken_networkx,0,1,100.0,0,100,7,1,1,,0,76,2026-06-21T08:25:03Z,,,,,,,
Danzer1xxxxChan/H3-World,2,1,0,0,24,3,0,0,,0,,,,,,,,,
DareDev256/fcp-mcp-server,0,1,100.0,100.0,100,5,1,1,,0,0,2026-09-04T23:55:06Z,,,,,,,
Chrizhermann/chriz-bg-modpack,0,1,0,100.0,5,2,1,1,,0,1,2026-09-04T10:35:36Z,,,,,,,
DietrichGebert/DietrichGebert,0,1,0,0,69,2,1,0,,0,,,,,,,,,
DaoyuanLi2816/mini-verl,6,1,25.0,98.9,100,1,1,1,,0,6,2026-08-30T03:47:01Z,,,,,,,
DeepCommit-ai/SWE-Milestone,11,1,71.4,88.9,100,3,1,1,,0,12,2026-08-24T01:41:49Z,,,,,,,
Digital-Process-Tools/claude-supertool,0,1,76.2,98.0,100,5,1,1,,0,0,2026-09-04T14:12:58Z,,,,,,,
DeHor-Labs/mcp-fiscal-brasil,1,1,60.0,87.9,84,3,1,1,,0,75,2026-06-21T18:27:28Z,,,,,,,
DeepFoldProtein/patchr,0,1,0,100.0,88,2,1,1,,0,0,2026-09-05T07:34:31Z,,,,,,,
Civilofficerconducting396/comfyui-workflow-finder,0,1,0,0,1,2,0,0,,0,,,,,,,,,
DeepXiv/deepxiv_sdk,1,1,100.0,100.0,7,5,0,1,,0,,,,,,,,,
DefuzeX-AI/KUMA-DefuzeX,0,1,85.7,90.9,21,1,1,0,,0,8,2026-08-28T01:38:16Z,,,,,,,
Cloodnova/Payment_ops,0,1,0,0,31,1,1,1,,0,,,,,,,,,
DiscoverBox/awesome-ai-reverse,0,1,0,0,88,2,1,1,,0,,,,,,,,,
DevilJie/social-auto-upload-web-ui,6,1,62.5,97.0,100,6,0,1,,0,91,2026-06-06T10:37:20Z,,,,,,,
Delta-Kronecker/Tor-Bridges-Collector,0,1,0,0,100,3,1,0,,0,,,,,,,,,
DogukanUrker/BenchKit,0,1,28.6,100.0,100,6,1,1,,0,,,,,,,,,
Deno2026/comfyui-deno-custom-nodes,0,1,98.0,86.5,100,3,1,1,,0,0,2026-09-05T12:17:22Z,,,,,,,
CommanderTurtle/mm-tools,0,1,0,0,100,1,0,1,,0,,,,,,,,,
DominikBucko/qwen38-flash-next-2x3090,0,1,33.3,100.0,8,1,1,1,,0,0,2026-09-05T02:18:22Z,,,,,,,
Dictation354/paper-fetch-skill,0,1,100.0,80.6,100,5,1,1,,0,0,2026-09-05T11:26:54Z,,,,,,,
Dianel555/DSkills,1,1,0,0,63,1,1,1,,0,,,,,,,,,
Dongwon-Son/TAM,0,1,0,0,17,3,0,0,,0,15,2026-08-21T06:24:04Z,,,,,,,
Diaugeia/ModernTSF,0,1,0,81.8,100,5,1,1,,0,0,2026-09-04T21:15:19Z,,,,,,,
DrDecki/VitaHomebrewDB,0,1,81.0,50.0,100,2,1,0,,0,33,2026-08-03T13:26:44Z,,,,,,,
DrEAmSs59/CS2-insight-agent,0,1,85.5,81.8,100,11,1,1,,0,0,2026-09-05T09:45:22Z,,,,,,,
Diffeomorphic/import_daz,2,1,89.5,60.0,100,4,0,0,,0,26,2026-08-10T06:29:57Z,,,,,,,
DrSeedon/orchestra,0,1,0,50.0,100,4,1,1,,0,,,,,,,,,
DravenALG/VLANeXt,5,1,100.0,66.7,25,3,0,1,,0,,,,,,,,,
Digital-Process-Tools/claude-remember,0,1,98.2,100.0,100,28,1,1,,0,0,2026-09-05T03:16:25Z,,,,,,,
DresdenGman/Grid-Extreme-Risk-Toolkit-GERT-,0,1,0,100.0,26,1,1,1,,0,,,,,,,,,
EXboys/evotown,12,1,57.9,93.8,100,5,1,1,,0,,,,,,,,,
DobermanCore/Doberman-Core,0,1,57.1,94.6,100,25,1,1,,0,0,2026-09-05T05:06:53Z,,,,,,,
DroneWuKong/drone-integration-handbook,0,3,0,94.4,100,17,1,1,,0,,,,,,,,,
EmGi96/TrailPrint3D,2,1,72.4,95.2,100,7,0,1,,0,32,2026-08-03T14:01:03Z,,,,,,,
Dpro-at/Tel-Agent,0,1,0,94.0,100,8,1,1,,0,,,,,,,,,
CurrenlyDying/7shell,0,1,0,0,9,1,0,1,,0,,,,,,,,,
Dvurechensky/BinNexus,0,1,0,0,92,1,0,0,,0,,,,,,,,,
Dreamerol/NEURAL-NETWORKS,1,1,0,0,41,1,0,0,,0,,,,,,,,,
D-AI-network/acpop,0,2,0,0,100,3,0,0,,0,,,,,,,,,
Dvurechensky/ReverseProxyDLL,0,1,0,0,92,1,0,0,,0,,,,,,,,,
Encod3d-Sec/TORCH,4,1,0,100.0,100,2,0,1,,0,,,,,,,,,
Dsadd4/AgentFigureGallery,0,1,50.0,0,2,2,1,0,,0,126,2026-05-01T17:14:55Z,,,,,,,
E00N777/DeepLint,0,1,0,100.0,19,1,0,1,,0,,,,,,,,,
Eriemon/verilog-generator,10,1,0,0,62,2,0,1,,0,10,2026-08-25T14:53:55Z,,,,,,,
DuskWander87/shadowrocket-config,0,1,100.0,0,72,2,0,0,,0,,,,,,,,,
EVEDensity/AgentHub,0,1,100.0,88.9,100,6,1,1,,0,,,,,,,,,
EthanYoQ/Invoice-Downloader,7,1,100.0,100.0,100,2,1,1,,0,37,2026-07-29T16:40:39Z,,,,,,,
EddieTYP/image-prompt-library,0,1,0,97.8,100,1,1,1,,0,2,2026-09-03T06:13:01Z,,,,,,,
EdwardChamberlain/Bambutton,0,1,77.8,60.0,14,1,1,1,,0,63,2026-07-03T20:19:01Z,,,,,,,
EverMind-AI/SkillCorpus,3,1,60.0,100.0,100,12,1,1,,0,3,2026-09-02T12:39:45Z,,,,,,,
Egoist-Machines/LodeDB,0,1,70.8,92.6,100,4,1,1,,0,0,2026-09-05T06:29:27Z,,,,,,,
Eldin162/jobclaw,0,1,0,0,1,2,0,1,,0,,,,,,,,,
EverettFish/ip_illustration_for_yourself,5,1,0,100.0,32,2,0,0,,0,,,,,,,,,
ElainaCore/ElainaBot_v2,1,1,100.0,97.0,100,4,1,0,,0,,,,,,,,,
Elysiaaaaaaaa/TTTIR,0,1,0,0,18,3,0,1,,0,,,,,,,,,
EvoMap/AutoResearch,4,1,0,0,5,2,1,1,,0,,,,,,,,,
EmertonData/glide,1,2,100.0,98.0,100,7,1,1,,0,40,2026-07-27T09:17:47Z,,,,,,,
Embedded-Focus/agent-circus,1,1,100.0,100.0,81,3,1,1,,0,,,,,,,,,
EvoScientist/EvoSkills,10,1,66.7,93.8,15,9,1,0,,0,40,2026-07-26T22:13:13Z,,,,,,,
FERAL-AI/FERAL-AI,0,1,0,79.7,100,4,1,1,,0,3,2026-09-02T03:54:48Z,,,,,,,
Deasus/firestorm-goes-fire-data,0,1,0,0,100,2,1,0,,0,,,,,,,,,
EmmaLeonhart/Sutra,0,1,0,95.0,100,3,1,1,,0,46,2026-07-20T15:34:02Z,,,,,,,
Fergana-Labs/stash,4,2,0,55.8,100,11,1,1,,0,52,2026-07-15T11:31:45Z,,,,,,,
FLEXIY0/matryoshka-vpn,0,1,0,0,100,2,1,0,,0,,,,,,,,,
EndoTheDev/OMeter,0,1,100.0,75.0,100,5,1,1,,0,120,2026-05-08T12:42:25Z,,,,,,,
FireRedTeam/FireRedAudio,10,1,25.0,0,4,1,0,0,,0,,,,,,,,,
FROWNINGdev/django-orm-lens,2,1,90.3,83.6,100,10,1,1,,0,16,2026-08-20T06:19:11Z,,,,,,,
Deasus/firestorm-ngfs-data,0,1,0,0,100,2,1,0,,0,,,,,,,,,
Ethan19YQ/EOS-Bench,0,1,50.0,0,9,1,0,0,,0,,,,,,,,,
FireRedTeam/FireRedTTS3,12,1,14.3,0,11,1,0,0,,0,,,,,,,,,
FTShare-Lab/FTShare-python-sdk,1,2,50.0,100.0,61,7,1,1,,0,1,2026-09-04T11:05:00Z,,,,,,,
FishCodeTech/muteki,9,1,50.0,83.3,34,3,1,1,,0,13,2026-08-22T13:56:08Z,,,,,,,
FTShare-Lab/FTShare-skill,1,2,50.0,100.0,50,9,0,1,,0,,,,,,,,,
Deltasthicc/PRISM,0,1,0,90.0,100,6,1,1,,0,,,,,,,,,
ExtraE113/moltbook_data,0,1,33.3,100.0,100,3,1,1,,0,,,,,,,,,
FlashML-org/flashlib,5,1,50.0,57.1,41,5,0,1,,0,,,,,,,,,
FX-FeiHou/ComfyUI-FeiHou-Toolbox,1,1,0,0,23,1,1,0,,0,1,2026-09-04T11:42:08Z,,,,,,,
FANATFANATA/DanyAPI,0,1,100.0,76.5,100,6,1,1,,0,0,2026-09-05T10:28:12Z,,,,,,,
FloatingPragma/observer-patch-holography,0,1,73.9,92.0,100,15,1,1,,0,0,2026-09-05T13:15:28Z,,,,,,,
Fast-Py/fast-collections,0,1,0,94.9,15,2,1,1,,0,46,2026-07-21T10:41:37Z,,,,,,,
FBruzzesi/polars-stats,0,1,50.0,97.1,45,2,1,1,,0,6,2026-08-30T11:45:51Z,,,,,,,
Floe-Labs/floe-guard,3,1,100.0,82.7,100,20,1,1,,0,,,,,,,,,
Feashliaa/job-board-aggregator,0,1,87.5,50.0,100,3,1,1,,0,0,2026-09-05T12:28:36Z,,,,,,,
FLAT447/v2ray-lists,0,1,0,0,100,5,0,0,,0,,,,,,,,,
FluxVLA/FluxVLA,1,2,50.0,86.5,46,17,1,1,,0,54,2026-07-13T12:56:50Z,,,,,,,
FezVrasta/ha-rbac,0,1,87.5,83.3,100,4,1,1,,0,1,2026-09-03T14:19:39Z,,,,,,,
Disarrayed-agglutination903/multi-agent-game-engine,0,1,0,0,1,3,0,1,,0,,,,,,,,,
FW1201/tw-edu-skills,0,1,0,0,2,1,1,0,,0,,,,,,,,,
Fly143/deepseek-free-api,9,1,68.2,75.0,6,4,1,0,,0,9,2026-08-26T14:24:33Z,,,,,,,
Diu1773/kmtnet-gefs-collector,0,1,0,0,100,4,1,0,,0,,,,,,,,,
FanBroWell/AI-paper-reviewer,0,1,0,0,60,2,1,1,,0,,,,,,,,,
FonaTech/Clouds-Coder,12,1,0,0,54,1,1,1,,0,12,2026-08-23T16:03:24Z,,,,,,,
Fly143/MiMo2API,0,1,81.2,100.0,33,2,1,0,,0,0,2026-09-05T09:49:23Z,,,,,,,
FeiZhuLulu/Agent-Bridge,0,1,0,57.1,64,2,1,1,,0,,,,,,,,,
FrontisAI/OpenRSI,1,1,80.0,100.0,32,4,0,1,,0,,,,,,,,,
Francis1998/agentic-career-search,0,2,0,100.0,100,3,1,1,,0,,,,,,,,,
FlintUA/MeshCenter,0,1,0,94.4,100,1,1,1,,0,3,2026-09-01T14:35:06Z,,,,,,,
FuDie0915/Super-Instruct-Codex-5.6,4,1,30.0,0,20,1,0,0,,0,35,2026-08-01T11:27:28Z,,,,,,,
Francis1998/nexus-llm-router,0,2,50.0,100.0,100,3,1,1,,0,60,2026-07-07T01:51:11Z,,,,,,,
Florisheedless915/grok-register,0,1,0,0,1,6,1,1,,0,,,,,,,,,
FujitsuResearch/OneCompression,2,1,60.0,89.1,100,15,1,1,,0,2,2026-09-03T02:06:02Z,,,,,,,
Francis1998/scholar-rag-agent,0,2,0,100.0,100,3,1,1,,0,,,,,,,,,
DrunkenZealnut/laborconsult,0,1,0,100.0,100,1,1,1,,0,,,,,,,,,
Eaukusti/BikePredictor,0,1,0,0,100,2,1,0,,0,,,,,,,,,
EgwuSamuel/carnagefpl,0,1,0,0,51,2,1,0,,0,,,,,,,,,
Ehabmd93/delburn-proof-rolling,0,1,0,0,19,1,0,1,,0,,,,,,,,,
Ender0081/aitool,0,1,0,0,1,1,0,1,,0,,,,,,,,,
FadiBadarni/israel-homicides,0,1,0,0,23,1,0,1,,0,,,,,,,,,
FoxRick/Collie,0,1,80.0,99.0,100,7,1,1,,0,,,,,,,,,
FrancoStino/opencode-skills-collection,0,1,100.0,82.0,100,7,1,1,,0,0,2026-09-05T01:44:58Z,,,,,,,
FrontisAI/NatureBench,0,1,100.0,100.0,59,3,0,1,,0,,,,,,,,,
FuRongJun-1999/CommonTrustProtocol,0,1,100.0,0,100,2,0,1,,0,2,2026-09-02T14:00:05Z,,,,,,,
FujitsuPolycom/sparkring,0,1,48.1,70.5,100,5,1,1,,0,,,,,,,,,
FutureMLS-Lab/OSCAR,69,1,40.0,100.0,8,4,1,1,,0,,,,,,,,,
FutureisinPast/antigravity-conversation-fix,9,1,100.0,0,6,1,1,1,,0,10,2026-08-26T10:25:07Z,,,,,,,
FzRsLLaSheR/TheWatcher,0,1,0,0,100,2,1,0,,0,,,,,,,,,
Fzkuji/OpenProgram,0,1,0,100.0,100,4,1,1,,0,12,2026-08-24T03:15:49Z,,,,,,,
GBeurier/nirs4all-methods,0,1,0,87.0,100,2,1,1,,0,0,2026-09-05T09:05:48Z,,,,,,,
GGBond121211/CodeInsight,0,1,0,50.0,13,1,1,1,,0,22,2026-08-14T07:54:45Z,,,,,,,
GMGNAI/gmgn-skills,1,3,23.5,87.9,100,19,1,0,,0,,,,,,,,,
GML-MMGroup/AdCraft,2,1,0,97.1,100,4,0,1,,0,45,2026-07-22T11:06:37Z,,,,,,,
GaBoron/steam-achievement-translation-library,0,1,93.1,91.0,100,5,1,0,,0,,,,,,,,,
Gabson0x/bountyforge,6,1,0,0,25,1,0,1,,0,30,2026-08-06T04:31:30Z,,,,,,,
Gaius-Augustus/BRAKER4,10,1,52.1,95.7,64,11,0,1,,0,117,2026-05-10T17:20:03Z,,,,,,,
GameMainKH/BoomBeachSonarAuto,0,1,50.0,100.0,15,1,0,1,,0,,,,,,,,,
GautamVhavle/CatGPT-Gateway,12,1,30.0,66.7,6,7,0,1,,0,,,,,,,,,
GeekatplayStudio/ComfyUI-Asset-Vault,0,1,25.0,0,24,2,0,1,,0,,,,,,,,,
GeekatplayStudio/Meshwright,0,1,0,0,13,2,0,1,,0,,,,,,,,,
GenielabsOpenSource/spine-animation-ai,9,1,100.0,100.0,7,2,1,0,,0,,,,,,,,,
GetKlai/klai,0,1,66.7,97.9,100,8,1,1,,0,,,,,,,,,
Gianluca-Improta/cinekive,1,1,100.0,0,24,1,1,0,,0,1,2026-09-04T07:27:38Z,,,,,,,
Gindhar2112/frida-mcp,0,1,0,0,1,2,0,0,,0,,,,,,,,,
Gingiris-1031/gingiris-skills,1,1,0,0,53,5,0,0,,0,,,,,,,,,
Ginolazy/ComfyPanel,0,1,100.0,0,32,1,0,0,,0,0,2026-09-05T09:20:12Z,,,,,,,
Glitch-Cat-Club/graph-memory-starter,6,1,0,0,5,1,0,0,,0,,,,,,,,,
GodRaymond233/ok-bd2,0,1,20.0,100.0,100,1,1,1,,0,0,2026-09-05T10:26:19Z,,,,,,,
GoogleCloudPlatform/cxas-scrapi,1,4,25.0,78.8,100,51,1,1,,0,35,2026-07-31T21:05:32Z,,,,,,,
GoogleCloudPlatform/data-agent-kit,0,2,33.3,85.5,38,11,1,0,,0,14,2026-08-21T22:17:16Z,,,,,,,
GoogleCloudPlatform/race-condition,40,1,0,58.6,54,2,1,1,,0,,,,,,,,,
GuyMannDude/mnemo-cortex,0,2,75.0,100.0,100,5,1,1,,0,44,2026-07-23T09:50:51Z,,,,,,,
H-EmbodVis/TurboVLA,3,1,9.1,0,11,3,0,0,,0,,,,,,,,,
HA-Pulse/home-assistant-global-health-score,2,1,90.1,50.0,5,4,1,1,,0,103,2026-05-25T12:48:53Z,,,,,,,
